time,p_flow
755,591
756,621
757,559
758,623
759,612
760,592
761,766
762,723
763,655
764,634
765,797
766,867
767,892
768,1058
769,1888
770,2185
771,2711
772,2992
773,2734
774,2965
775,2110
776,1726
777,1419
778,1052
779,927
780,820
781,787
782,784
783,790
784,690
785,633
786,534
787,435
788,357
789,311
790,114
791,21
792,1
793,10
794,35
795,135
796,121
797,183
798,211
799,326
800,431
801,569
802,884
803,1039
804,1424
805,1555
806,1878
807,1218
808,1036
809,832
810,672
811,605
812,624
813,686
814,596
815,481
816,510
817,485
818,524
819,587
820,483
821,519
822,600
823,540
824,664
825,636
826,567
827,612
828,634
829,600
830,512
831,609
832,610
833,772
834,670
835,694
836,756
837,762
838,897
839,963
840,1173
841,1858
842,2228
843,2483
844,2988
845,2672
846,3055
847,2056
848,1680
849,1410
850,1061
851,913
852,837
853,797
854,716
855,733
856,659
857,675
858,636
859,497
860,363
861,347
862,135
863,18
864,0
865,10
866,26
867,100
868,119
869,165
870,193
871,322
872,418
873,671
874,959
875,1252
876,1468
877,1600
878,1990
879,1362
880,1079
881,884
882,729
883,599
884,651
885,655
886,486
887,674
888,505
889,534
890,554
891,617
892,587
893,570
894,659
895,578
896,611
897,701
898,610
899,582
900,602
901,649
902,605
903,586
904,585
905,758
906,683
907,664
908,706
909,893
910,896
911,957
912,1289
913,1908
914,2210
915,2661
916,3076
917,2818
918,2942
919,2065
920,1697
921,1421
922,1176
923,960
924,835
925,837
926,765
927,800
928,760
929,748
930,681
931,520
932,382
933,349
934,118
935,23
936,1
937,9
938,31
939,127
940,111
941,174
942,256
943,311
944,450
945,723
946,847
947,1105
948,1523
949,1543
950,1909
951,1338
952,1059
953,851
954,662
955,682
956,545
957,681
958,524
959,581
960,501
961,481
962,541
963,597
964,524
965,495
966,668
967,611
968,655
969,611
970,652
971,646
972,676
973,661
974,685
975,637
976,673
977,751
978,752
979,725
980,703
981,800
982,890
983,896
984,1249
985,1898
986,2207
987,2413
988,2999
989,2737
990,2913
991,2165
992,1582
993,1562
994,1175
995,933
996,845
997,965
998,867
999,792
1000,819
1001,760
1002,699
1003,542
1004,483
1005,368
1006,112
1007,22
1008,0
1009,7
1010,40
1011,112
1012,96
1013,182
1014,190
1015,337
1016,419
1017,593
1018,787
1019,1227
1020,1619
1021,1530
1022,1485
1023,1501
1024,1004
1025,796
1026,706
1027,657
1028,756
1029,679
1030,559
1031,562
1032,481
1033,549
1034,543
1035,521
1036,592
1037,496
1038,622
1039,719
1040,863
1041,641
1042,1049
1043,687
1044,639
1045,723
1046,631
1047,748
1048,729
1049,1016
1050,850
1051,834
1052,772
1053,862
1054,898
1055,1030
1056,1218
