data
73
160
495
764
1556
3110
3136
2403
1482
1285
1068
943
984
1116
1076
1158
1394
1253
1124
1162
1368
1301
1676
1998
4054
5652
5475
3735
2500
1791
1657
1427
1048
780
525
175
62
236
386
787
1491
2550
3502
2188
1405
1255
1236
1093
974
1154
1139
1152
1336
1187
1240
1164
1324
1366
1612
1986
3905
5452
5598
3943
2502
1750
1620
1392
1278
825
573
158
41
211
361
683
1558
2550
3412
2257
1540
1288
1163
1110
1049
1095
1093
1122
1409
1282
1193
1184
1489
1395
1617
2176
4022
5540
5802
3560
2634
1764
1664
1348
1298
977
684
159
41
166
339
650
1627
2580
3330
2367
1516
1280
1254
1102
1056
1135
1207
1162
1338
1224
1309
1190
1482
1290
1522
2153
4082
5605
5756
3534
2518
1733
1703
1463
1279
991
695
132
39
191
394
673
1578
2450
3178
2320
1779
1280
1189
1126
1082
1259
1109
1197
1902
1530
1302
1346
1604
1488
1764
2133
4074
5639
5878
4000
2672
1873
1874
1577
1619
1301
954
179
40
331
479
877
1593
2859
3305
2596
1442
1269
1236
1000
995
1023
1093
1142
1406
1212
1219
1277
1419
1287
1538
1916
4121
5694
5804
4176
2737
1760
1608
1302
1114
876
529
124
30
225
413
694
1497
2479
3358
2319
1441
1177
1266
1118
1050
1226
1644
1569
1739
1729
1820
1708
1793
1823
2012
2338
3551
4776
4955
3283
2364
1563
1492
1475
1278
947
642
142
41
201
367
721
1478
2613
3455
2277
1494
1301
1187
975
1052
979
1117
1189
1160
1219
1221
1174
1365
1409
1638
1972
3882
5483
5700
3671
2595
1705
1647
1419
1292
844
642
139
39
222
389
729
1533
2520
3525
2174
1526
1199
1186
1000
1007
982
1034
1169
1139
1229
1234
1188
1451
1342
1640
2027
3971
5612
5950
3588
2419
1792
1658
1331
1394
991
633
154
55
219
362
777
1503
2734
2975
2513
1525
1287
1123
1139
987
1056
1191
1526
1673
1374
1433
1353
1548
1633
1799
2201
4303
5680
5813
4264
2900
1702
1736
1773
1586
1427
865
228
40
340
511
776
1596
3003
3201
2402
1342
1256
1168
912
880
983
973
1064
1231
1215
1186
1212
1491
1292
1669
1957
4082
5707
5715
3846
2485
1760
1571
1483
1171
806
563
123
45
256
394
762
1459
2469
3452
2265
1516
1241
1285
996
1014
1076
1130
1213
1206
1249
1119
1223
1445
1456
1659
2144
4097
5482
5741
3743
2479
1755
1522
1395
1312
875
620
156
36
221
359
746
1637
2736
3608
2453
1622
1256
1153
1195
1093
1209
1244
1198
1319
1187
1259
1177
1445
1379
1793
2247
4125
5737
5778
3770
2601
1813
1607
1565
1434
917
616
169
40
238
435
769
1575
2631
3475
2414
1520
1233
1210
1090
1028
1135
1171
1268
1277
1335
1351
1316
1509
1442
1703
2150
4107
5435
5661
3762
2752
1783
1838
1617
1468
1047
641
174
47
208
373
760
1385
2860
3028
2520
1504
1420
1242
1046
1096
1117
1120
1584
1699
1336
1360
1481
1873
1612
1767
2254
4212
5827
5844
4162
2959
1927
1811
1826
1716
1578
1050
247
45
329
573
841
1585
3056
3162
2487
1473
1177
1184
959
906
1020
1046
1162
1240
1105
1180
1214
1428
1415
1584
1937
4051
5832
5894
3818
2594
1743
1512
1291
1141
786
544
97
34
263
406
694
1497
2521
3455
2343
1569
1290
1232
1026
1044
1017
1117
1251
1239
1182
1276
1204
1388
1355
1596
2073
4088
5383
5651
3770
2647
1643
1572
1547
1303
940
647
150
33
196
383
739
1565
2535
3491
2349
1455
1369
1340
1048
1033
1043
1159
1206
1247
1295
1285
1208
1543
1399
1625
2205
4068
5413
5617
3717
2733
1829
1749
1656
1338
993
654
189
49
203
353
763
1580
2544
3507
2318
1595
1274
1373
1099
1043
1032
1214
1222
1186
1301
1310
1269
1561
1420
1706
2261
4123
5411
5656
3715
2772
1743
1713
1513
1451
1079
704
210
32
226
372
710
1623
2691
3094
2461
1603
1409
1313
1033
1131
1114
1238
1560
1709
1459
1480
1421
1797
1732
1823
2313
4165
5761
5621
3940
3040
2136
1997
1593
1734
1488
1097
253
37
263
538
804
1641
3001
3247
2563
1503
1268
1285
1092
997
1049
1005
1241
1259
1228
1210
1197
1426
1496
1651
1938
4030
5581
6049
3903
2750
1712
1581
1470
1179
1094
625
142
28
200
383
840
1559
2485
3441
2323
1606
1166
1285
1258
1017
1094
1164
1227
1248
1216
1238
1244
1518
1334
1604
2268
4176
5270
5642
3859
2787
1957
1661
1592
1435
1044
753
182
30
223
400
827
1488
2540
3580
2436
1471
1220
1301
1061
1058
1117
1249
1374
1365
1237
1325
1270
1597
1417
1620
2306
4320
5499
5602
3836
2872
1907
1830
1622
1564
1332
760
170
35
214
418
771
1592
2646
3542
2285
1627
1396
1323
1142
1074
1140
1273
1470
1481
1467
1365
1240
1515
1504
1687
2437
4231
5267
5722
3678
2765
1892
1835
1615
1517
1149
719
165
57
281
459
971
1621
2782
3292
2542
1661
1361
1375
1313
1195
1347
1499
1719
2008
1737
1797
1605
2077
1962
2125
2591
4046
5571
5607
4000
3078
1909
1904
1773
1609
1350
955
250
